reg_date,menti_seq,mento_seq,check_type,check1_value,check2_value,check3_value,check4_value,check5_value,check6_value,service1,service2,service3,service4,service5,service6,service7,service8,service9,service10,service11,service12,service13,service14,service15,service16
2023-03-14 16:55:33.722985,101,99,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 16:56:50.133406,101,99,1,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2023-03-14 16:57:34.688657,101,99,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 16:58:32.979809,101,99,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 16:58:49.42785,101,99,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:02:35.67141,101,99,1,1,0,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-03-14 17:05:14.675427,101,99,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:06:30.307884,101,99,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:08:35.368358,101,99,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2023-03-14 17:08:48.88105,101,99,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:12:01.789553,101,99,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:13:36.989183,101,99,1,1,1,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:17:55.138366,101,99,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:19:20.038874,101,99,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:23:48.785416,101,99,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:25:53.347649,101,99,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:27:39.422638,101,99,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 17:28:34.648474,101,99,1,1,1,0,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 18:49:54.942775,101,99,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 19:26:40.140316,101,99,1,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2023-03-14 19:39:40.439671,101,99,1,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 20:10:30.402202,101,99,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 20:29:14.569578,101,99,1,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 20:32:21.782091,101,99,1,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 20:34:19.664524,101,99,1,2,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 20:36:10.317819,101,99,1,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 20:37:37.855832,101,99,1,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
