T,n_patients_keep,keep_ratio
5,4933,1.0
6,4933,1.0
7,4933,1.0
8,4933,1.0
9,4933,1.0
10,4933,1.0
11,4933,1.0
12,4933,1.0
13,4933,1.0
14,4933,1.0
15,4933,1.0
16,4933,1.0
17,4933,1.0
18,4933,1.0
19,4933,1.0
20,4933,1.0
21,4933,1.0
22,4887,0.9906750456111899
23,4810,0.9750658828299209
24,4733,0.9594567200486519
25,4657,0.9440502736671397
26,4574,0.9272248124873302
27,4489,0.9099939185080073
28,4357,0.8832353537401175
29,4214,0.8542469085749037
30,4108,0.8327589702006892
31,3973,0.8053922562335293
32,3763,0.7628218122846139
33,3552,0.7200486519359416
34,3333,0.6756537603892155
35,3137,0.6359213460368944
36,2894,0.5866612608960065
37,2708,0.5489560105412528
38,2519,0.5106426109872289
39,2361,0.4786134198256639
40,2209,0.44780052706263934
