col,dtype,missing_rate
reg_date,object,0.0
menti_seq,int64,0.0
mento_seq,int64,0.0
check_type,int64,0.0
check1_value,int64,0.0
check2_value,int64,0.0
check3_value,int64,0.0
check4_value,int64,0.0
check5_value,int64,0.0
check6_value,int64,0.0
service1,int64,0.0
service2,int64,0.0
service3,int64,0.0
service4,int64,0.0
service5,int64,0.0
service6,int64,0.0
service7,int64,0.0
service8,int64,0.0
service9,int64,0.0
service10,int64,0.0
service11,int64,0.0
service12,int64,0.0
service13,int64,0.0
service14,int64,0.0
service15,int64,0.0
service16,int64,0.0
