service,OR,p
service10,1.6174421844524938,0.002792258845497027
service5,2.7265172500629564,0.004580707834960474
service9,1.6301422529796232,0.005983204022126015
service4,0.5799396126371603,0.05661242469809609
service8,1.7088212334113972,0.1281680623218135
service2,1.4048083170890189,0.1621628279442761
service11,inf,0.2349123904881101
service14,0.5639006662628709,0.2615073709093098
service1,1.1733256682954871,0.3299582731969035
service12,1.6881394467601365,0.3430307484745182
service15,1.4336917562724014,0.4421181053262304
service16,1.1736111111111112,0.4566623508153739
service7,0.8529005524861878,0.5876807313298722
service6,1.1732550554468362,0.6437629008642514
service3,1.0326514555468136,0.9217005531661064
service13,1.0621761658031088,1.0
