feature,beta,OR,CI_low,CI_high,p_value,pct,abs_beta,abs_logOR
service_total,0.6392257237152158,1.8950130474625824,1.1941864208832045,3.0071305344416097,0.0066622248674069,10,0.6392257237152158,0.6392257237152157
service6_int_p10,-0.254345492120646,0.7754238529306388,0.6219879778241716,0.966710247032736,0.0237616487115007,10,0.254345492120646,0.25434549212064594
service16_int_p10,-0.1931757478397296,0.8243370859455237,0.6913636077919573,0.9828860292999974,0.0313712564051222,10,0.1931757478397296,0.1931757478397296
service11_rst_p10,0.1926666186612103,1.212478508423919,1.034011239112374,1.4217486984492278,0.0177058016067662,10,0.1926666186612103,0.19266661866121043
service10_int_p10,-0.1782295538270692,0.836750322202056,0.7017396752426595,0.9977362352543832,0.0471173355334945,10,0.1782295538270692,0.17822955382706915
y0_PHQ,0.147507537569514,1.15894202040287,1.0279417068150187,1.3066369403544298,0.0159388571011491,10,0.147507537569514,0.14750753756951404
service8_rst_p10,0.1315493357679338,1.140594178423974,1.0032474091310626,1.29674402147866,0.0444813243202144,10,0.1315493357679338,0.13154933576793368
service_total,0.550961436983982,1.734920232753972,1.040719840665808,2.892179140251097,0.0345943566229674,15,0.550961436983982,0.550961436983982
service6_int_p15,-0.2860192725488424,0.751248137340947,0.5895796223909492,0.9572477447058152,0.0207005939522096,15,0.2860192725488424,0.2860192725488424
service15_int_p15,-0.2201483053378621,0.8023997889660588,0.6484107859352969,0.9929591476552384,0.0428680792329113,15,0.2201483053378621,0.22014830533786212
y0_PHQ,0.1521031820001699,1.164280363011169,1.0331477358663952,1.3120570433778866,0.0125995048821523,15,0.1521031820001699,0.15210318200016962
service_total,0.6378357289884415,1.892380819134996,1.1246745760639132,3.184125649183814,0.0162803228260623,20,0.6378357289884415,0.6378357289884415
service15_int_p20,-0.2844113765211378,0.7524570378695263,0.5921750233211638,0.9561220442293292,0.0199579683146663,20,0.2844113765211378,0.28441137652113785
service2_int_p20,-0.211752260800831,0.8091651346598683,0.6620375146447045,0.988989597516247,0.0386275857397048,20,0.211752260800831,0.21175226080083104
y0_PHQ,0.152536574993252,1.1647850633213708,1.033446143957283,1.312815623406738,0.0124552071776445,20,0.152536574993252,0.152536574993252
service_total,0.7234473044775086,2.0615276888370606,1.1640913287174717,3.65082730796059,0.0130982800432415,25,0.7234473044775086,0.7234473044775086
service15_int_p25,-0.2786127988997212,0.7568328930173034,0.5951072779627579,0.9625088604424475,0.0231140388932849,25,0.2786127988997212,0.27861279889972124
service2_int_p25,-0.2035144378580315,0.8158584249895259,0.6692361267288409,0.9946040613197286,0.0440588090632012,25,0.2035144378580315,0.2035144378580315
service10_int_p25,-0.2005456361671114,0.8182841458215921,0.6705511663456414,0.998565026666179,0.0483663071900211,25,0.2005456361671114,0.2005456361671115
service16_int_p25,-0.1943867875655622,0.8233393852365002,0.6808163889550015,0.9956983325887928,0.0450215493606377,25,0.1943867875655622,0.19438678756556224
y0_PHQ,0.1479644714252365,1.1594717012541524,1.028490314612819,1.3071339680192282,0.015549366047007,25,0.1479644714252365,0.14796447142523658
service8_rst_p25,0.1377036157277049,1.1476353587922907,1.0037182763606096,1.3121878397251805,0.0439791988977138,25,0.1377036157277049,0.13770361572770484
