service,prop_used_week,mean_weeks_per_patient,std_weeks_per_patient,prop_patients_any_use
service1,0.167125,6.685,10.729027215922233,0.66625
service2,0.08415625,3.36625,8.524353989452717,0.353125
service3,0.110578125,4.423125,10.12665246931951,0.343125
service4,0.08234375,3.29375,8.758565004468378,0.303125
service5,0.030390625,1.215625,4.90386387039603,0.19375
service6,0.03625,1.45,5.312955862794315,0.21875
service7,0.06896875,2.75875,7.855208363722808,0.323125
service8,0.046921875,1.876875,6.749201081192804,0.19125
service9,0.720078125,28.803125,14.458625980167387,0.931875
service10,0.190203125,7.608125,13.120053695941081,0.480625
service11,0.007890625,0.315625,2.7974999301831724,0.0475
service12,0.018265625,0.730625,4.426546295858086,0.089375
service13,0.008296875,0.331875,2.488570670962538,0.0725
service14,0.039421875,1.576875,6.479609574223889,0.17625
service15,0.027625,1.105,5.63517745949491,0.11
service16,0.1024375,4.0975,9.941981379483739,0.3775
